timestamp_s,temp_ar_C,umid_ar_pct,temp_solo_C,umid_solo_pct
814823384,28.50,-1.00,-1.00,-1.00
814823394,28.38,-1.00,-1.00,-1.00
814823404,28.31,-1.00,-1.00,-1.00
814823414,28.19,-1.00,-1.00,-1.00
814823424,28.13,-1.00,-1.00,-1.00
814823434,28.00,-1.00,-1.00,-1.00
814823447,30.31,-1.00,-1.00,-1.00
814823457,31.38,-1.00,-1.00,-1.00
814823467,31.31,-1.00,-1.00,-1.00
814823477,31.06,-1.00,-1.00,-1.00
814823931,26.94,-1.00,-1.00,-1.00
814823941,26.88,-1.00,-1.00,-1.00
814823951,26.88,-1.00,-1.00,-1.00
814823961,26.81,-1.00,-1.00,-1.00
814823971,26.81,-1.00,-1.00,-1.00
814823981,26.81,-1.00,-1.00,-1.00
814823991,29.56,-1.00,-1.00,-1.00
814824001,31.38,-1.00,-1.00,-1.00
814824011,32.38,-1.00,-1.00,-1.00
814824021,33.00,-1.00,-1.00,-1.00
814824031,33.44,-1.00,-1.00,-1.00
814824041,33.75,-1.00,-1.00,-1.00
814824051,33.75,-1.00,-1.00,-1.00
814824061,33.44,-1.00,-1.00,-1.00
814824071,33.19,-1.00,-1.00,-1.00
814824081,32.81,-1.00,-1.00,-1.00
814824091,32.50,-1.00,-1.00,-1.00
814824353,27.94,-1.00,-1.00,-1.00
814824363,27.88,-1.00,-1.00,-1.00
814825050,26.38,-1.00,-1.00,-1.00
814825060,26.38,-1.00,-1.00,-1.00
814825070,26.38,-1.00,-1.00,-1.00
814825115,31.38,-1.00,-1.00,-1.00
814825125,31.19,-1.00,-1.00,-1.00
814825135,30.94,-1.00,-1.00,-1.00
814825145,30.69,-1.00,-1.00,-1.00
814825155,30.50,-1.00,-1.00,-1.00
814825165,30.25,-1.00,-1.00,-1.00
814825175,30.06,-1.00,-1.00,-1.00
814825185,29.88,-1.00,-1.00,-1.00
814825195,29.69,-1.00,-1.00,-1.00
814825205,29.50,-1.00,-1.00,-1.00
814825215,29.31,-1.00,-1.00,-1.00
814825225,29.13,-1.00,-1.00,-1.00
814825235,29.00,-1.00,-1.00,-1.00
814825245,28.88,-1.00,-1.00,-1.00
814825255,28.75,-1.00,-1.00,-1.00
814825265,28.63,-1.00,-1.00,-1.00
814825275,28.44,-1.00,-1.00,-1.00
814825285,28.38,-1.00,-1.00,-1.00
814825295,28.25,-1.00,-1.00,-1.00
814825305,28.13,-1.00,-1.00,-1.00
814825315,28.00,-1.00,-1.00,-1.00
814825325,27.94,-1.00,-1.00,-1.00
814825335,27.88,-1.00,-1.00,-1.00
814825345,27.75,-1.00,-1.00,-1.00
814825355,27.63,-1.00,-1.00,-1.00
814825365,27.63,-1.00,-1.00,-1.00
814825375,27.56,-1.00,-1.00,-1.00
814825385,27.50,-1.00,-1.00,-1.00
814825395,27.38,-1.00,-1.00,-1.00
814825405,27.31,-1.00,-1.00,-1.00
814825415,27.31,-1.00,-1.00,-1.00
814825425,27.25,-1.00,-1.00,-1.00
814825435,27.19,-1.00,-1.00,-1.00
814825445,27.13,-1.00,-1.00,-1.00
814825455,27.13,-1.00,-1.00,-1.00
814825465,27.06,-1.00,-1.00,-1.00
814825475,27.00,-1.00,-1.00,-1.00
814825485,27.00,-1.00,-1.00,-1.00
814825495,26.94,-1.00,-1.00,-1.00
814825505,26.94,-1.00,-1.00,-1.00
814825515,26.94,-1.00,-1.00,-1.00
814825525,26.88,-1.00,-1.00,-1.00
814825535,26.81,-1.00,-1.00,-1.00
814825545,26.81,-1.00,-1.00,-1.00
814825555,26.81,-1.00,-1.00,-1.00
814825565,26.75,-1.00,-1.00,-1.00
814825575,26.69,-1.00,-1.00,-1.00
814825585,26.69,-1.00,-1.00,-1.00
814825595,26.69,-1.00,-1.00,-1.00
814825605,26.63,-1.00,-1.00,-1.00
814825615,26.63,-1.00,-1.00,-1.00
814825625,26.63,-1.00,-1.00,-1.00
814825700,26.50,-1.00,-1.00,-1.00
814825710,26.56,-1.00,-1.00,-1.00
814825771,26.44,-1.00,-1.00,-1.00
814825832,26.44,-1.00,-1.00,-1.00
814825874,26.38,-1.00,-1.00,-1.00
814825884,26.38,-1.00,-1.00,-1.00
814825894,26.44,-1.00,-1.00,-1.00
814825904,26.38,-1.00,-1.00,-1.00
814825914,26.38,-1.00,-1.00,-1.00
814825924,26.38,-1.00,-1.00,-1.00
814825934,26.38,-1.00,-1.00,-1.00
814825944,26.38,-1.00,-1.00,-1.00
814825954,26.38,-1.00,-1.00,-1.00
814825964,26.38,-1.00,-1.00,-1.00
814825974,26.38,-1.00,-1.00,-1.00
814825984,26.38,-1.00,-1.00,-1.00
814825994,26.38,-1.00,-1.00,-1.00
814826004,26.38,-1.00,-1.00,-1.00
814826014,26.38,-1.00,-1.00,-1.00
814826024,26.31,-1.00,-1.00,-1.00
814826034,26.31,-1.00,-1.00,-1.00
814826044,26.38,-1.00,-1.00,-1.00
814826054,26.38,-1.00,-1.00,-1.00
814826064,26.38,-1.00,-1.00,-1.00
814826074,26.31,-1.00,-1.00,-1.00
814826084,26.31,-1.00,-1.00,-1.00
814826094,26.31,-1.00,-1.00,-1.00
814826104,26.31,-1.00,-1.00,-1.00
814826114,26.31,-1.00,-1.00,-1.00
814826124,26.31,-1.00,-1.00,-1.00
814826134,26.31,-1.00,-1.00,-1.00
814826144,26.31,-1.00,-1.00,-1.00
814826154,26.31,-1.00,-1.00,-1.00
814826164,26.31,-1.00,-1.00,-1.00
814826174,26.38,-1.00,-1.00,-1.00
814826184,26.31,-1.00,-1.00,-1.00
814826194,26.31,-1.00,-1.00,-1.00
814826204,26.38,-1.00,-1.00,-1.00
12,26.38,-1.00,-1.00,-1.00
22,26.44,-1.00,-1.00,-1.00
